x1,y1,x2,y2,dx,dy,magnitude,angle_deg
3300.0000,431.0000,3302.4880,430.3649,2.4880,-0.6351,2.5678,-14.3203
2133.0000,2207.0000,2134.9531,2206.8530,1.9531,-0.1470,1.9586,-4.3034
2955.0000,964.0000,2956.5127,964.4899,1.5127,0.4899,1.5901,17.9460
3292.0000,2545.0000,3292.7988,2544.8604,0.7988,-0.1396,0.8109,-9.9160
3871.0000,1239.0000,3872.7087,1240.2576,1.7087,1.2576,2.1216,36.3517
4429.0000,2132.0000,4432.5825,2132.0603,3.5825,0.0603,3.5830,0.9643
3473.0000,2219.0000,3476.7192,2219.4753,3.7192,0.4753,3.7495,7.2833
4723.0000,1582.0000,4728.7886,1580.9631,5.7886,-1.0369,5.8807,-10.1553
4375.0000,2250.0000,4381.1602,2251.4343,6.1602,1.4343,6.3249,13.1072
3504.0000,1391.0000,3510.9722,1392.3928,6.9722,1.3928,7.1099,11.2972
4071.0000,1603.0000,4082.2725,1603.9985,11.2725,0.9985,11.3166,5.0622
4251.0000,688.0000,4252.2656,687.0455,1.2656,-0.9545,1.5852,-37.0217
2321.0000,2055.0000,2328.8127,2057.6318,7.8127,2.6318,8.2441,18.6168
3898.0000,707.0000,3900.5059,707.0559,2.5059,0.0559,2.5065,1.2781
4073.0000,1244.0000,4077.8313,1242.8646,4.8313,-1.1354,4.9629,-13.2248
2794.0000,2382.0000,2798.3257,2383.5996,4.3257,1.5996,4.6120,20.2941
3722.0000,1895.0000,3731.1353,1894.2238,9.1353,-0.7762,9.1682,-4.8569
1611.0000,2619.0000,1612.4745,2618.8904,1.4745,-0.1096,1.4786,-4.2518
2027.0000,2533.0000,2028.0341,2532.2639,1.0341,-0.7361,1.2693,-35.4448
1737.0000,1992.0000,1738.2007,1991.4180,1.2007,-0.5820,1.3343,-25.8618
3665.0000,2565.0000,3665.2988,2564.8955,0.2988,-0.1045,0.3166,-19.2734
4601.0000,2440.0000,4601.4136,2439.4363,0.4136,-0.5637,0.6992,-53.7343
3998.0000,2667.0000,3998.1594,2666.8164,0.1594,-0.1836,0.2432,-49.0305
2353.0000,2048.0000,2362.7854,2051.2732,9.7854,3.2732,10.3183,18.4950
1020.0000,2282.0000,1022.7576,2282.4111,2.7576,0.4111,2.7881,8.4797
4661.0000,1991.0000,4668.6611,1991.6685,7.6611,0.6685,7.6902,4.9866
3702.0000,840.0000,3702.7195,840.3127,0.7195,0.3127,0.7845,23.4936
1040.0000,2117.0000,1042.1611,2117.2073,2.1611,0.2073,2.1711,5.4785
3519.0000,1693.0000,3527.8730,1692.5132,8.8730,-0.4868,8.8864,-3.1404
2930.0000,2131.0000,2935.4915,2131.6582,5.4915,0.6582,5.5308,6.8348
4527.0000,2067.0000,4534.6006,2067.4397,7.6006,0.4397,7.6133,3.3109
2111.0000,1288.0000,2113.3354,1289.0250,2.3354,1.0250,2.5505,23.6966
3074.0000,2206.0000,3075.7971,2206.0073,1.7971,0.0073,1.7971,0.2335
4316.0000,2159.0000,4321.6060,2159.8367,5.6060,0.8367,5.6680,8.4885
110.0000,1838.0000,115.7411,1838.3196,5.7411,0.3196,5.7500,3.1861
1827.0000,1787.0000,1839.4546,1787.4189,12.4546,0.4189,12.4616,1.9266
2446.0000,2324.0000,2449.0898,2324.7595,3.0898,0.7595,3.1818,13.8102
979.0000,1860.0000,986.4074,1860.5211,7.4074,0.5211,7.4257,4.0242
2972.0000,1808.0000,2979.0098,1806.8950,7.0098,-1.1050,7.0963,-8.9581
2360.0000,2064.0000,2364.4851,2064.0999,4.4851,0.0999,4.4862,1.2754
792.0000,1900.0000,800.4811,1900.7809,8.4811,0.7809,8.5170,5.2606
1662.0000,2253.0000,1662.7694,2253.0493,0.7694,0.0493,0.7710,3.6674
4670.0000,1777.0000,4686.5786,1777.9404,16.5786,0.9404,16.6053,3.2467
611.0000,1431.0000,613.7270,1431.3870,2.7270,0.3870,2.7543,8.0764
301.0000,2017.0000,304.1099,2017.5858,3.1099,0.5858,3.1646,10.6680
3690.0000,1332.0000,3694.6228,1332.2878,4.6228,0.2878,4.6318,3.5630
3025.0000,1976.0000,3031.6848,1976.1686,6.6848,0.1686,6.6869,1.4446
2622.0000,1980.0000,2632.9634,1980.7068,10.9634,0.7068,10.9861,3.6886
1561.0000,1910.0000,1563.5299,1909.5588,2.5299,-0.4412,2.5681,-9.8917
2272.0000,1823.0000,2287.0127,1822.0160,15.0127,-0.9840,15.0449,-3.7501
2516.0000,2094.0000,2519.5959,2093.9829,3.5959,-0.0171,3.5960,-0.2723
3300.0000,1420.0000,3306.1709,1420.8121,6.1709,0.8121,6.2241,7.4974
4461.0000,1856.0000,4473.8638,1856.8004,12.8638,0.8004,12.8886,3.5605
